city_fip,PLACENAME,State-City
US0103220,Autaugaville,US01-AUTAUGAVILLE
US0106460,Billingsley,US01-BILLINGSLEY
US0146600,Marbury,US01-MARBURY
US0148712,Millbrook,US01-MILLBROOK
US0160264,Pine Level,US01-PINE LEVEL
US0162328,Prattville,US01-PRATTVILLE
US0104660,Bay Minette,US01-BAY MINETTE
US0108272,Bon Secour,US01-BON SECOUR
US0119648,Daphne,US01-DAPHNE
US0123320,Elberta,US01-ELBERTA
US0125240,Fairhope,US01-FAIRHOPE
US0126992,Foley,US01-FOLEY
US0132272,Gulf Shores,US01-GULF SHORES
US0142928,Lillian,US01-LILLIAN
US0144608,Loxley,US01-LOXLEY
US0146072,Magnolia Springs,US01-MAGNOLIA SPRINGS
US0157144,Orange Beach,US01-ORANGE BEACH
US0159064,Perdido,US01-PERDIDO
US0159088,Perdido Beach,US01-PERDIDO BEACH
US0161488,Point Clear,US01-POINT CLEAR
US0165208,Robertsdale,US01-ROBERTSDALE
US0170536,Silverhill,US01-SILVERHILL
US0171976,Spanish Fort,US01-SPANISH FORT
US0172816,Stapleton,US01-STAPLETON
US0173272,Stockton,US01-STOCKTON
US0173872,Summerdale,US01-SUMMERDALE
US0103724,Bakerhill,US01-BAKERHILL
US0107672,Blue Springs,US01-BLUE SPRINGS
US0115376,Clayton,US01-CLAYTON
US0115640,Clio,US01-CLIO
US0124568,Eufaula,US01-EUFAULA
US0144344,Louisville,US01-LOUISVILLE
US0109136,Brent,US01-BRENT
US0113672,Centreville,US01-CENTREVILLE
US0178264,Vance,US01-VANCE
US0180928,West Blocton,US01-WEST BLOCTON
US0183640,Woodstock,US01-WOODSTOCK
US0101396,Allgood,US01-ALLGOOD
US0101660,Altoona,US01-ALTOONA
US0107456,Blountsville,US01-BLOUNTSVILLE
US0115472,Cleveland,US01-CLEVELAND
US0117968,County Line,US01-COUNTY LINE
US0129032,Garden City,US01-GARDEN CITY
US0133640,Hayden,US01-HAYDEN
US0134480,Highland Lake,US01-HIGHLAND LAKE
US0143888,Locust Fork,US01-LOCUST FORK
US0153448,Nectar,US01-NECTAR
US0157000,Oneonta,US01-ONEONTA
US0164248,Remlap,US01-REMLAP
US0166408,Rosa,US01-ROSA
US0171201,Smoke Rise,US01-SMOKE RISE
US0171280,Snead,US01-SNEAD
US0174160,Susan Moore,US01-SUSAN MOORE
US0176680,Trafford,US01-TRAFFORD
US0126152,Fitzpatrick,US01-FITZPATRICK
US0148424,Midway,US01-MIDWAY
